"age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","bankable"
82,"Private",132870,"HS-grad",9,"Widowed","Exec-managerial","Not-in-family","White","Female",0,4356,18,"United-States","<=50K"
41,"Private",264663,"Some-college",10,"Separated","Prof-specialty","Own-child","White","Female",0,3900,40,"United-States","<=50K"
74,"State-gov",88638,"Doctorate",16,"Never-married","Prof-specialty","Other-relative","White","Female",0,3683,20,"United-States",">50K"
32,"Private",136204,"Masters",14,"Separated","Exec-managerial","Not-in-family","White","Male",0,2824,55,"United-States",">50K"
45,"Private",172822,"11th",7,"Divorced","Transport-moving","Not-in-family","White","Male",0,2824,76,"United-States",">50K"
57,"Private",317847,"Masters",14,"Divorced","Exec-managerial","Not-in-family","White","Male",0,2824,50,"United-States",">50K"
34,"Private",203034,"Bachelors",13,"Separated","Sales","Not-in-family","White","Male",0,2824,50,"United-States",">50K"
29,"Private",77009,"11th",7,"Separated","Sales","Not-in-family","White","Female",0,2754,42,"United-States","<=50K"
61,"Private",29059,"HS-grad",9,"Divorced","Sales","Unmarried","White","Female",0,2754,25,"United-States","<=50K"
51,"Private",153870,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2603,40,"United-States","<=50K"
21,"Private",34310,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2603,40,"United-States","<=50K"
33,"Private",228696,"1st-4th",2,"Married-civ-spouse","Craft-repair","Not-in-family","White","Male",0,2603,32,"Mexico","<=50K"
53,"Private",149650,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,2559,48,"United-States",">50K"
43,"Private",115806,"Masters",14,"Divorced","Exec-managerial","Unmarried","White","Female",0,2547,40,"United-States",">50K"
51,"Private",115066,"Some-college",10,"Divorced","Adm-clerical","Unmarried","White","Female",0,2547,40,"United-States",">50K"
43,"Private",289669,"Masters",14,"Divorced","Prof-specialty","Unmarried","White","Female",0,2547,40,"United-States",">50K"
71,"?",100820,"HS-grad",9,"Married-civ-spouse","?","Husband","White","Male",0,2489,15,"United-States","<=50K"
71,"Private",110380,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,2467,52,"United-States","<=50K"
68,"?",192052,"Some-college",10,"Married-civ-spouse","?","Wife","White","Female",0,2457,40,"United-States","<=50K"
40,"Self-emp-not-inc",335549,"Prof-school",15,"Never-married","Prof-specialty","Not-in-family","White","Male",0,2444,45,"United-States",">50K"
40,"Local-gov",147372,"Some-college",10,"Never-married","Protective-serv","Not-in-family","White","Male",0,2444,40,"United-States",">50K"
33,"Private",194901,"Assoc-voc",11,"Separated","Craft-repair","Not-in-family","White","Male",0,2444,42,"United-States",">50K"
50,"Self-emp-inc",121441,"11th",7,"Never-married","Exec-managerial","Other-relative","White","Male",0,2444,40,"United-States",">50K"
44,"Private",162028,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2415,6,"United-States",">50K"
41,"Private",132222,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,40,"United-States",">50K"
39,"Self-emp-inc",329980,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,60,"United-States",">50K"
47,"Self-emp-not-inc",145290,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,50,"United-States",">50K"
46,"Private",326857,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,65,"United-States",">50K"
40,"Private",160369,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,45,"United-States",">50K"
32,"Private",396745,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,48,"United-States",">50K"
41,"Self-emp-inc",151089,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,55,"United-States",">50K"
60,"Self-emp-inc",336188,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,80,"United-States",">50K"
37,"Self-emp-inc",30529,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,50,"United-States",">50K"
44,"Self-emp-inc",191712,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,55,"United-States",">50K"
46,"Self-emp-not-inc",102308,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,40,"United-States",">50K"
39,"Private",348521,"Some-college",10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,2415,99,"United-States",">50K"
50,"Self-emp-not-inc",42402,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,30,"United-States",">50K"
36,"Private",346478,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,45,"United-States",">50K"
47,"Private",148995,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,60,"United-States",">50K"
67,"Private",105252,"Bachelors",13,"Widowed","Exec-managerial","Not-in-family","White","Male",0,2392,40,"United-States",">50K"
72,"Self-emp-not-inc",52138,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2392,25,"United-States",">50K"
78,"Self-emp-inc",188044,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2392,40,"United-States",">50K"
68,"Private",211287,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2392,40,"United-States",">50K"
26,"Private",181655,"Assoc-voc",11,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,2377,45,"United-States","<=50K"
68,"State-gov",235882,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2377,60,"United-States",">50K"
49,"Self-emp-inc",158685,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2377,40,"United-States",">50K"
27,"Private",156516,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","Black","Female",0,2377,20,"United-States","<=50K"
35,"Local-gov",177305,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2377,40,"United-States","<=50K"
68,"Private",218637,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,2377,55,"United-States",">50K"
65,"?",240857,"Bachelors",13,"Married-civ-spouse","?","Husband","White","Male",0,2377,40,"United-States",">50K"
35,"Private",192923,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2377,40,"United-States","<=50K"
65,"Self-emp-inc",81413,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,2352,65,"United-States","<=50K"
34,"Private",25322,"Bachelors",13,"Married-spouse-absent","Machine-op-inspct","Not-in-family","Asian-Pac-Islander","Male",0,2339,40,"?","<=50K"
25,"Private",77071,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Female",0,2339,35,"United-States","<=50K"
55,"Private",158702,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","Black","Female",0,2339,45,"?","<=50K"
69,"Private",228921,"Bachelors",13,"Widowed","Prof-specialty","Not-in-family","White","Male",0,2282,40,"United-States",">50K"
46,"State-gov",192779,"Assoc-acdm",12,"Divorced","Adm-clerical","Unmarried","White","Male",0,2258,38,"United-States",">50K"
47,"Private",138107,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,2258,40,"United-States",">50K"
23,"Private",102942,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Female",0,2258,40,"United-States",">50K"
34,"Private",36385,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,2258,50,"United-States","<=50K"
33,"Private",176185,"12th",8,"Divorced","Craft-repair","Not-in-family","White","Male",0,2258,42,"United-States","<=50K"
57,"Private",121362,"Some-college",10,"Widowed","Adm-clerical","Unmarried","White","Female",0,2258,38,"United-States",">50K"
44,"Self-emp-inc",178510,"Some-college",10,"Never-married","Sales","Not-in-family","White","Male",0,2258,60,"United-States","<=50K"
31,"Private",263561,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2246,45,"United-States",">50K"
70,"Self-emp-not-inc",143833,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2246,40,"United-States",">50K"
27,"Local-gov",92431,"Some-college",10,"Never-married","Protective-serv","Not-in-family","White","Male",0,2231,40,"United-States",">50K"
90,"Private",51744,"HS-grad",9,"Never-married","Other-service","Not-in-family","Black","Male",0,2206,40,"United-States","<=50K"
68,"Private",166149,"HS-grad",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0,2206,30,"United-States","<=50K"
65,"?",143118,"HS-grad",9,"Widowed","?","Unmarried","White","Female",0,2206,10,"United-States","<=50K"
67,"Private",118363,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Female",0,2206,5,"United-States","<=50K"
24,"Private",379066,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Male",0,2205,24,"United-States","<=50K"
20,"Private",107801,"Assoc-acdm",12,"Never-married","Other-service","Own-child","White","Female",0,2205,18,"United-States","<=50K"
38,"Private",126675,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,2205,40,"United-States","<=50K"
